"Félév","Pedagógia szakas","Tantárgy","Műveltségterület","Tanulási Eredmény","",""
"1","7-8","KULT","Magyar nyelv és irodalom","A tanuló képes a kulturált szociális érintkezésre, eligazodik és hatékonyan részt vesz a mindennapi páros és csoportos kommunikációs helyzetekben, vitákban. Figyeli és tudja értelmezni partnerei kommunikációs szándékát, nem nyelvi jeleit.","",""
"1","7-8","KULT","Magyar nyelv és irodalom","Képes érzelmeit kifejezni, álláspontját megfelelő érvek, bizonyítékok segítségével megvédeni, ugyanakkor empatikusan képes beleélni magát mások gondolatvilágába, érzelmeibe, megérti mások cselekvésének mozgatórugóit.","",""
"1","7-8","KULT","Magyar nyelv és irodalom","Képes a különböző megjelenésű és műfajú szövegek globális (átfogó) megértésére, a szöveg szó szerinti jelentésén túli üzenet értelmezésére, a szövegből információk visszakeresésére.","",""
"1","7-8","KULT","Magyar nyelv és irodalom","Tisztában van a média alapvető kifejezőeszközeivel, az írott és az elektronikus sajtó műfajaival. Ismeri a média, kitüntetetten az audiovizuális média és az internet társadalmi szerepét, működési módjának legfőbb jellemzőit. Kialakul benne a médiatudatosság elemi szintje, az önálló, kritikus attitűd.","",""
"1","1-2","STEM","Matematika","Összehasonlítás, azonosítás, megkülönböztetés. Közös tulajdonság felismerése, megnevezése.","",""
"1","1-2","STEM","Matematika","Több, kevesebb, ugyannyi fogalmának helyes használata.","",""
"1","1-2","STEM","Matematika","Néhány elem sorba rendezése próbálgatással.","",""
"1","1-2","STEM","Matematika","Páros és páratlan számok megkülönböztetése.","",""
"1","1-2","STEM","Matematika","Tájékozódási képesség, irányok ismerete.","",""
"1","3-4","STEM","Matematika","A matematika különböző területein az ésszerű becslés és a kerekítés alkalmazása.","",""
"1","3-4","STEM","Matematika","Fejben számolás százas számkörben.","",""
"1","3-4","STEM","Matematika","A szorzótábla biztos ismerete 100-as számkörben.","",""
"1","3-4","STEM","Matematika","Szabályfelismerés, szabálykövetés. Növekvő és csökkenő számsorozatok felismerése, készítése.","",""
"1","3-4","STEM","Matematika","Összefüggések keresése az egyszerű sorozatok elemei között.","",""
"1","3-4","STEM","Matematika","A szabály megfogalmazása egyszerű formában, a hiányzó elemek pótlása.","",""
"1","5-6","STEM","Matematika","Mérés, mértékegységek használata, átváltás egyszerű esetekben.","",""
"1","5-6","STEM","Matematika","Egyszerűbb grafikonok, elemzése.","",""
"1","5-6","STEM","Matematika","Térelemek, félegyenes, szakasz, szögtartomány, sík, fogalmának ismerete.","",""
"1","5-6","STEM","Matematika","Alapszerkesztések: pont és egyenes távolsága, két párhuzamos egyenes távolsága, szakaszfelező merőleges, szögfelező, szögmásolás, merőleges és párhuzamos egyenesek.","",""
"1","5-6","STEM","Matematika","Egyszerű diagramok készítése, értelmezése, táblázatok olvasása.","",""
"1","7-8","STEM","Matematika","Mérés, mértékegység használata, átváltás. Egyenes arányosság, fordított arányosság.","",""
"1","7-8","STEM","Matematika","A százalékszámítás alapfogalmainak ismerete, a tanult összefüggések alkalmazása feladatmegoldás során.","",""
"1","7-8","STEM","Matematika","A legnagyobb közös osztó kiválasztása az összes osztóból, a legkisebb pozitív közös többszörös kiválasztása a többszörösök közül.","",""
"1","7-8","STEM","Matematika","Prímszám, összetett szám. Prímtényezős felbontás.","",""
"1","7-8","STEM","Matematika","Számológép ésszerű használata a számolás megkönnyítésére.","",""
"1","9-10","STEM","Matematika","Halmazokkal kapcsolatos alapfogalmak ismerete, halmazok szemléltetése, halmazműveletek ismerete; számhalmazok ismerete.","",""
"1","9-10","STEM","Matematika","Egyszerű algebrai kifejezések használata, műveletek algebrai kifejezésekkel; a tanultak alkalmazása a matematikai problémák megoldásában (pl. modellalkotás szöveg alapján, egyenletek megoldása, képletek értelmezése); egész kitevőjű hatványok, azonosságok.","",""
"1","9-10","STEM","Matematika","A függvény megadása, a szereplő halmazok ismerete (értelmezési tartomány, értékkészlet); valós függvény alaptulajdonságainak ismerete.","",""
"1","9-10","STEM","Matematika","A tanult alapfüggvények ismerete (tulajdonságok, grafikon).","",""
"1","9-10","STEM","Matematika","Egyszerű függvénytranszformációk végrehajtása.","",""
"1","9-10","STEM","Matematika","Valós folyamatok elemzése a folyamathoz tartozó függvény grafikonja alapján.","",""
"1","9-10","STEM","Matematika","Függvénymodell készítése lineáris kapcsolatokhoz; a meredekség.","",""
"1","9-10","STEM","Matematika","A tanulók tudják az elemi függvényeket ábrázolni koordináta-rendszerben, és a legfontosabb függvénytulajdonságokat meghatározni, nemcsak a matematika, hanem a természettudományos tárgyak megértése miatt, és különböző gyakorlati helyzetek leírásának érdekében is.","",""
"1","11-12","STEM","Matematika","A kombinatorikai problémához illő módszer önálló megválasztása.","",""
"1","11-12","STEM","Matematika","A gráfok eszközjellegű használata problémamegoldásában.","",""
"1","11-12","STEM","Matematika","A tanulók a rendszerezett összeszámlálás, a tanult ismeretek segítségével tudjanak kombinatorikai problémákat jól megoldani","",""
"1","11-12","STEM","Matematika","A kiterjesztett gyök- és hatványfogalom ismerete.","",""
"1","11-12","STEM","Matematika","A logaritmus fogalmának ismerete.","",""
"1","11-12","STEM","Matematika","A gyök, a hatvány és a logaritmus azonosságainak alkalmazása konkrét esetekben probléma megoldása céljából.","",""
"1","1-2","Harmónia","Technika, életvitel és gyakorlat","A család szerepének, időbeosztásának és egészséges munkamegosztásának megértése, káros sztereotípiák lebomlása.","",""
"1","1-2","Harmónia","Technika, életvitel és gyakorlat","Alapvető háztartási feladatok, eszközök, gépek és az ezekkel kapcsolatos veszélyforrások ismerete.","",""
"1","1-2","Harmónia","Technika, életvitel és gyakorlat","Példák ismerete az egészséges, korszerű táplálkozás és a célszerű öltözködés terén.","",""
"1","1-2","Harmónia","Technika, életvitel és gyakorlat","Életkori szintnek megfelelő problémafelismerés, problémamegoldás.","",""
"1","3-4","Harmónia","Technika, életvitel és gyakorlat","Sikerélmények (a felfedezés és önálló próbálkozás öröme, a motiváló hatás érvényesülése tárgyalkotáskor).","",""
"1","3-4","Harmónia","Technika, életvitel és gyakorlat","Egyszerű tárgyak elkészítése mintakövetéssel.","",""
"1","3-4","Harmónia","Technika, életvitel és gyakorlat","Aktív részvétel, önállóság és együttműködés a tevékenységek során.","",""
"1","3-4","Harmónia","Technika, életvitel és gyakorlat","Elemi higiéniai és munkaszokások szabályos gyakorlati alkalmazása.","",""
"1","5-6","Harmónia","Technika, életvitel és gyakorlat","A vasúti közlekedésben való biztonságos és udvarias részvétel.","",""
"1","7-8","Harmónia","Technika, életvitel és gyakorlat","Környezettudatosság a háztartási hulladékok kezelése során.","",""
"1","7-8","Harmónia","Technika, életvitel és gyakorlat","A kerékpárosokra vonatkozó közlekedési szabályok tudatos készségszintű alkalmazása.","",""
"1","7-8","Harmónia","Technika, életvitel és gyakorlat","Tájékozottság a közlekedési környezetben.","",""
"1","7-8","Harmónia","Technika, életvitel és gyakorlat","Tudatos közlekedési magatartás.","",""
"1","7-8","Harmónia","Technika, életvitel és gyakorlat","A közlekedési morál alkalmazása.","",""
"1","7-8","Harmónia","Technika, életvitel és gyakorlat","Környezettudatos közlekedésszemlélet.","",""
"1","11-12","Harmónia","Technika, életvitel és gyakorlat","Az élő és a tárgyi környezet kapcsolatából, kölcsönhatásainak megfigyeléséből származó tapasztalatok felhasználása a problémamegoldások során, a tevékenységek gyakorlásakor.","",""
"1","11-12","Harmónia","Technika, életvitel és gyakorlat","Használati utasítások értő olvasása, betartása.","",""
"1","11-12","Harmónia","Technika, életvitel és gyakorlat","Tudatos vásárlókká válás, a fogyasztóvédelem szerepének, a vásárlók jogainak ismerete.","",""
"1","11-12","Harmónia","Technika, életvitel és gyakorlat","A szociális érzékenység növekedése (a fogyatékkal élők és az idősek segítése). Karitatív tevékenységek végzése melletti elköteleződés.","",""
"1","11-12","Harmónia","Technika, életvitel és gyakorlat","A biztonságos, balesetmentes, udvarias közlekedés szabályainak betartása.","",""
"1","11-12","Harmónia","Technika, életvitel és gyakorlat","Magabiztos tájékozódás közvetlen és tágabb környezetben.","",""
"1","11-12","Harmónia","Technika, életvitel és gyakorlat","Közlekedési szabályok és a közlekedési etika alkalmazása.","",""
"1","11-12","Harmónia","Technika, életvitel és gyakorlat","A veszélyhelyzetek felismerése, elhárítása, az elsősegélynyújtás, valamint a balesetvédelem legalapvetőbb ismereteinek alkalmazása.","",""
"1","5-6","STEM","Természetismeret","Ismerje a Föld helyét a Világegyetemben, Magyarország helyét Európában.","",""
"1","5-6","STEM","Természetismeret","Erősödjön a természet és a haza iránti szeretete. Törekedjen a természeti és társadalmi értékek védelmére.","",""
"1","5-6","STEM","Természetismeret","Legyen nyitott, érdeklődő a világ megismerése iránt. Az internet és a könyvtár segítségével legyen képes tudása bővítésére. Legyenek saját ismeretszerzési, ismeretfeldolgozási módszerei.","",""
"1","1-2","Harmónia","Testnevelés és sport","Az alapvető tartásos és mozgásos elemek felismerése, pontos végrehajtása.","",""
"1","1-2","Harmónia","Testnevelés és sport","A testrészek megnevezése.","",""
"1","1-2","Harmónia","Testnevelés és sport","Az iskolatáska gerinckímélő hordása.","",""
"1","1-2","Harmónia","Testnevelés és sport","A testnevelésórák alapvető rendszabályai, a legfontosabb veszélyforrásai, balesetvédelmi szempontjai ismerete.","",""
"1","1-2","Harmónia","Testnevelés és sport","A játékfeladat megoldásából és a játékfolyamatból adódó öröm, élmény és tanulási lehetőség felismerése.","",""
"1","1-2","Harmónia","Testnevelés és sport","A sportszerű viselkedés néhány jellemzőjének ismerete.","",""
"1","3-4","Harmónia","Testnevelés és sport","Egyszerű, általános bemelegítő gyakorlatok végrehajtása önállóan, zenére is. Önálló pulzusmérés.","",""
"1","3-4","Harmónia","Testnevelés és sport","A levezetés helyének és preventív szerepének megértése.","",""
"1","3-4","Harmónia","Testnevelés és sport","A testnevelésórán megfelelő cipő és öltözet, tisztálkodás igényének megszilárdulása.","",""
"1","3-4","Harmónia","Testnevelés és sport","A játékok, versenyek során erősödő személyes felelősség a magatartási szabályrendszer betartásában és a sportszerűen viselkedés terén.","",""
"1","3-4","Harmónia","Testnevelés és sport","Az alapvető hely- és helyzetváltoztató mozgások célszerű, folyamatos és magabiztos végrehajtása.","",""
"1","3-4","Harmónia","Testnevelés és sport","A pontosság, célszerűség és biztonság igénnyé válása.","",""
"1","3-4","Harmónia","Testnevelés és sport","A tempóváltozások érzékelése és követése.","",""
"1","3-4","Harmónia","Testnevelés és sport","A futó-, ugró- és dobóiskolai gyakorlatok vezető műveleteinek ismerete, rendezettségre törekvő végrehajtása, változó körülmények között.","",""
"1","3-4","Harmónia","Testnevelés és sport","Az alaptechnikai elemek ismerete és azok alkalmazása az előkészítő játékok során.","",""
"1","3-4","Harmónia","Testnevelés és sport","A sportszerű viselkedés értékké válása.","",""
"1","3-4","Harmónia","Testnevelés és sport","A saját agresszió kezelése.","",""
"1","3-4","Harmónia","Testnevelés és sport","Az önvédelmi feladatok céljának megértése.","",""
"1","3-4","Harmónia","Testnevelés és sport","Egy úszásnemben 25 méter leúszása biztonságosan.","",""
"1","3-4","Harmónia","Testnevelés és sport","Az uszodai rendszabályok természetessé válása.","",""
"1","3-4","Harmónia","Testnevelés és sport","Legalább négy szabadidős mozgásforma és alapszabályainak ismerete.","",""
"1","5-6","Harmónia","Testnevelés és sport","A gyakorláshoz szükséges alakzatok öntevékeny gyors kialakítása.","",""
"1","5-6","Harmónia","Testnevelés és sport","Öntevékeny részvétel a szervezési feladatok végrehajtásában.","",""
"1","5-6","Harmónia","Testnevelés és sport","nyolc-tíz gyakorlattal részben önálló bemelegítés végrehajtása.","",""
"1","5-6","Harmónia","Testnevelés és sport","A testtartásért felelős izmok tudatos, koncentratív fejlesztése.","",""
"1","5-6","Harmónia","Testnevelés és sport","A biomechanikailag helyes testtartás megőrzése.","",""
"1","5-6","Harmónia","Testnevelés és sport","A bemelegítés és a levezetés szempontjainak ismerete.","",""
"1","5-6","Harmónia","Testnevelés és sport","Szabálykövető magatartás, önfegyelem, együttműködés kinyilvánítása a sportjátékokban.","",""
"1","5-6","Harmónia","Testnevelés és sport","A balesetvédelmi utasítások betartása.","",""
"1","5-6","Harmónia","Testnevelés és sport","A sportágak űzéséhez szükséges eszközök biztonságos használata.","",""
"1","5-6","Harmónia","Testnevelés és sport","A természeti és környezeti hatások és a szervezet alkalmazkodó képessége közötti összefüggés ismerete.","",""
"1","7-8","Harmónia","Testnevelés és sport","Egyszerű stressz- és feszültségoldó technikákról tájékozottság.","",""
"1","7-8","Harmónia","Testnevelés és sport","Az erősítés és nyújtás néhány ellenjavallt gyakorlatának ismerete.","",""
"1","7-8","Harmónia","Testnevelés és sport","A kamaszkori személyi higiénéről elemi tájékozottság.","",""
"1","7-8","Harmónia","Testnevelés és sport","A vízben mozgás prevenciós előnyeiről, a fizikai háttérről ismeretek.","",""
"1","7-8","Harmónia","Testnevelés és sport","A vízből mentés alapgyakorlatainak bemutatása.","",""
"1","7-8","Harmónia","Testnevelés és sport","Felelősségérzet, érdeklődés, segítőkészség kinyilvánítása a vizes feladatokban.","",""
"1","7-8","Harmónia","Testnevelés és sport","Konfliktusok, sportszerűtlenségek, deviáns magatartások esetén a gondolatok, vélemények szóban történő kulturált kifejezése.","",""
"1","7-8","Harmónia","Testnevelés és sport","Az egészséges életmóddal kapcsolatos ismeretek kinyilvánítása.","",""
"1","7-8","Harmónia","Testnevelés és sport","A környezettudatosság cselekedetekben való megjelenítése.","",""
"1","7-8","Harmónia","Testnevelés és sport","A verbális és nem verbális kommunikáció fejlődése a testkultúra hagyományos és újszerű mozgásanyagainak elsajátításában.","",""
"1","7-8","Harmónia","Testnevelés és sport","A sportszerű győzni akarás kinyilvánítása.","",""
"1","9-10","Harmónia","Testnevelés és sport","Tapasztalat a játékvezetői gyakorlatban.","",""
"1","9-10","Harmónia","Testnevelés és sport","Játéktapasztalat a társas kapcsolatok ápolásában, a bármilyen képességű társakat elfogadó, bevonó játékok játszásában, megválasztásában.","",""
"1","9-10","Harmónia","Testnevelés és sport","A javító kritika elfogadása és a mozdulatok kivitelezésének javítása. Esztétikus és harmonikus előadásmód.","",""
"1","9-10","Harmónia","Testnevelés és sport","Tapasztalat a sportolás során használt különféle anyagok, felületek tulajdonságairól és a baleseti kockázatokról.","",""
"1","9-10","Harmónia","Testnevelés és sport","Az amatőr versenyekhez elegendő versenyszabályok ismerete.","",""
"1","9-10","Harmónia","Testnevelés és sport","Bemelegítés, fizikai felkészülés a sérülésmentes sporttevékenységre.","",""
"1","9-10","Harmónia","Testnevelés és sport","A biomechanikailag helyes testtartás jellemzőinek és néhány jellemző deformitás kockázatainak értelmezése, a megőrzés néhány gyakorlatának ismerete és felelős alkalmazása.","",""
"1","11-12","Harmónia","Testnevelés és sport","A helyi tanterv szerint tanított két sportjátékra vonatkozóan:","",""
"1","11-12","Harmónia","Testnevelés és sport","Önállóság és önszervezés a bemelegítésben, a gyakorlásban, az edzésben és a játékban, játékvezetésben.","",""
"1","11-12","Harmónia","Testnevelés és sport","A másik személy különféle szintű játéktudásának elfogadása.","",""
"1","11-12","Harmónia","Testnevelés és sport","Bemelegítő és képességfejlesztő gyakorlatok ismerete, a célnak megfelelő kiválasztása.","",""
"1","11-12","Harmónia","Testnevelés és sport","Optimális segítségadás, biztosítás, bíztatás.","",""
"1","11-12","Harmónia","Testnevelés és sport","Hibajavítás és annak asszertív kommunikációja.","",""
"1","11-12","Harmónia","Testnevelés és sport","Az atlétikai versenyszámok biomechanikai alapjainak ismerete.","",""
"1","11-12","Harmónia","Testnevelés és sport","Az alapvető atlétikai versenyszabályok ismerete.","",""
"1","11-12","Harmónia","Testnevelés és sport","Bemelegítés az atlétikai mozgásokhoz illeszkedően.","",""
"1","11-12","Harmónia","Testnevelés és sport","A szabályok és rituálék betartása.","",""
"1","11-12","Harmónia","Testnevelés és sport","Önfegyelem, az indulatok és agresszivitás kezelése.","",""
"1","11-12","Harmónia","Testnevelés és sport","A bemelegítés szükségessége élettani okainak ismerete.","",""
"1","11-12","Harmónia","Testnevelés és sport","A gerinckímélet alkalmazása a testnevelési és sportmozgásokban, kerti és házimunkákban, az esetleges sérüléses szituációk megfelelő kezelése.","",""
"1","5-6","KULT","Történelem, társadalmi és állampolgári ismeretek","A tanuló ismerje fel, hogy a múltban való tájékozódást segítik a kulcsfogalmak és fogalmak, amelyek fejlesztik a történelmi tájékozódás és gondolkodás kialakulását.","",""
"1","5-6","KULT","Történelem, társadalmi és állampolgári ismeretek","Tudja, hogy az egyes népeket főleg vallásuk és kultúrájuk, életmódjuk alapján tudjuk megkülönböztetni.","",""
"1","5-6","KULT","Történelem, társadalmi és állampolgári ismeretek","Tudja, hogy az eredettörténetek, a közös szokások és mondák erősítik a közösség összetartozását, egyben a nemzeti öntudat kialakulásának alapjául szolgálnak.","",""
"1","5-6","KULT","Történelem, társadalmi és állampolgári ismeretek","Legyen képes emberi magatartásformák értelmezésre, információk rendezésére és értelmezésére, vizuális vázlatok készítésére.","",""
"1","5-6","KULT","Történelem, társadalmi és állampolgári ismeretek","Legyen képes saját vélemény megfogalmazása mellett mások véleményének figyelembe vételére.","",""
"1","7-8","KULT","Történelem, társadalmi és állampolgári ismeretek","Annak felismerése, hogy a modern nemzetállamokat különböző kultúrájú, vallású, szokású, életmódú népek, nemzetiségek együttesen alkotják","",""
"1","7-8","KULT","Történelem, társadalmi és állampolgári ismeretek","A múltat és a történelmet formáló alapvető folyamatok, összefüggések felismerése (pl. technikai fejlődésének hatásai a társadalomra és a gazdaságra) és egyszerű, átélhető erkölcsi tanulságok (pl. társadalmi kirekesztés) azonosítása, megítélése.","",""
"1","7-8","KULT","Történelem, társadalmi és állampolgári ismeretek","A tanuló ismerje fel, hogy a múltban való tájékozódást segítik a kulcsfogalmak és fogalmak, amelyek segítik a történelmi tájékozódás és gondolkodás kialakulását, fejlődését.","",""
"1","7-8","KULT","Történelem, társadalmi és állampolgári ismeretek","Ismerje fel, hogy az utókor a nagy történelmi személyiségek, nemzeti hősök cselekedeteit a közösségek érdekében végzett tevékenységek szempontjából értékeli, tudjon példát mondani ellentétes értékelésre.","",""
"1","7-8","KULT","Történelem, társadalmi és állampolgári ismeretek","Legyen képes saját vélemény megfogalmazása mellett mások véleményének figyelembe vételére, és tudjon ezekre reflektálni.","",""
"1","9-10","KULT","Történelem, társadalmi és állampolgári ismeretek","Ismerje fel a tanuló a civilizációk történetének jellegzetes sémáját (kialakulás, virágzás, hanyatlás).","",""
"1","9-10","KULT","Történelem, társadalmi és állampolgári ismeretek","Ismerje fel, hogy az utókor a nagy történelmi személyiségek, nemzeti hősök cselekedeteit a közösségek érdekében végzett tevékenységek szempontjából értékeli, tudjon példákat mondani különböző korok eltérő értékítéleteiről egy-egy történelmi személyiség kapcsán.","",""
"1","9-10","KULT","Történelem, társadalmi és állampolgári ismeretek","Legyen képes a szerzett információk rendezésére/értelmezésére, és tudja a rendelkezésre álló információforrásokat áttekinteni/értékelni is.","",""
"1","9-10","KULT","Történelem, társadalmi és állampolgári ismeretek","Tudjon kérdéseket megfogalmazni a forrás megbízhatóságára és a szerző esetleges elfogultságára vonatkozóan.","",""
"1","9-10","KULT","Történelem, társadalmi és állampolgári ismeretek","Tudja írott és hallott szövegből a lényeget kiemelni tételmondatok meghatározásával, szövegek tömörítésével és átfogalmazásával egyaránt.","",""
"1","11-12","KULT","Történelem, társadalmi és állampolgári ismeretek","A történelem értelmezését segítő kulcsfogalmak és egyéb egyedi fogalmak rendszeres és szakszerű alkalmazása révén, többoldalú történelmi tájékozódás és árnyalt gondolkodás.","",""
"1","11-12","KULT","Történelem, társadalmi és állampolgári ismeretek","Ismerje fel a tanuló, hogy az utókor, a történelmi emlékezet a nagy történelmi személyiségek tevékenységét többféle módon és szempont szerint értékeli, egyben legyen képes saját értékítélete megfogalmazásakor a közösség hosszú távú nézőpontját alkalmazni.","",""
"1","1-2","KULT","Vizuális kultúra","A felszerelés önálló rendben tartása.","",""
